name;rank;year;company;country;worth
Karl Wlaschek;305;2014;BILLA;AUT;4,8
Laurence Graff;305;2014;Graff Diamonds;GBR;4,8
Liselott Persson;305;2014; H&M;SWE;4,8
Pauline MacMillan Keinath;305;2014;Cargill;USA;4,8
Robert Ziff;305;2014;Ziff Davis Inc;USA;4,8
Whitney MacMillan;305;2014;Cargill;USA;4,8
Zhang Zhidong;305;2014;Tencent;CHN;4,8
Mochtar Riady;306;1996;Lippo Group;IDN;1,3
Tadahiro Yoshida;307;1996;YKK;JPN;1,3
Den Fujita;308;1996;McDonald's Japan;JPN;1,3
Hiroshi Takei;309;1996;;JPN;1,3
Masafumi Miyamoto;310;1996;Square;JPN;1,3
Soichiro Fukutake;311;1996;Benesse Corporation;JPN;1,3
Edward Johnson;312;1996;Fidelity Investments;USA;1,3
Abilio dos Santos Diniz;312;2001;Companhia Brasileira de Distribui?ao;BRA;1,6
Andrew McKelvey;312;2001;Monster Worldwide;USA;1,6
Chen Din Hwa;312;2001;Nan Fung Textiles;HKG;1,6
Dennis Bakke;312;2001;AES Corporation;USA;1,6
Dennis Washington;312;2001;Washington Companies;USA;1,6
Didier Primat;312;2001;Schlumberger;FRA;1,6
Gary Magness;312;2001;TCI;USA;1,6
George Mitchell;312;2001;Mitchell Energy and Development Co;USA;1,6
Gil Shwed;312;2001;Check Point;ISR;1,6
Jackson Stephens;312;2001;Stephens Group;USA;1,6
Jean-Louis Dumas;312;2001;Hermes;FRA;1,6
Kemal Uzan;312;2001;;TUR;1,6
Kwek Leng Beng;312;2001;Hong Leong Group;SGP;1,6
Lee Kun-Hee;312;2001;Samsung;KOR;1,6
Michael Birck;312;2001;Tellabs;USA;1,6
Perry Bass;312;2001;Bass Brothers Enterprises;USA;1,6
Richard DeVos;312;2001;Amway;USA;1,6
Robert Johnson;312;2001;Black Entertainment Television;USA;1,6
Roberto Rocca;312;2001;Techint;ARG;1,6
Sanford Weill;312;2001;Cogan, Berlind, Weill & Levitt;USA;1,6
Stanley Hubbard;312;2001;Hubbard Broadcasting Inc;USA;1,6
Tetsuro Funai;312;2001;Funai Electric;JPN;1,6
Vladimir Bogdanov;312;2001;Surgutneftegaz;RUS;1,6
William Morean;312;2001;Jabil Circuit;USA;1,6
Donald Hall;313;1996;Hallmark Cards;USA;1,3
Ralph Lauren;314;1996;Ralph Lauren;USA;1,3
Samuel LeFrak;315;1996;LeFrack ;USA;1,3
Leslie Wexner;316;1996;Limited Brands;USA;1,3
Craig McCaw;317;1996;McCaw Cellular;USA;1,3
Dorrance Hill Hamilton;318;1996;Campbell Soup;USA;1,3
Amos Hosetter Jr;319;1996;Continental Cablevision;USA;1,3
Andrew Tan;319;2014;Alliance Global Group;PHL;4,7
Arnon Milchan;319;2014;New Regency Films;ISR;4,7
Frank Lowy;319;2014;Westfield Group;AUS;4,7
Horst Paulmann;319;2014;Hipermercados Jumbo;CHL;4,7
Sergio Mantegazza;319;2014;Globus;CHE;4,7
Shari Arison;319;2014;Carnival Corporation;ISR;4,7
Lorenzo Mendoza;320;1996;Empresas Polar;VEN;1,3
Roberto and Gabriel Andrade;321;1996;Andrade Gutierrez;BRA;1,2
Abilio dos Santos Diniz;322;1996;Companhia Brasileira de Distribui?ao;BRA;1,2
Luiz Alberto Garcia;323;1996;Algar Group;BRA;1,2
Michael DeGroote;324;1996;Laidlaw Transport;CAN;1,2
Alvaro Noboa;325;1996;Exportadora Bananera Noboa;ECU;1,2
Diane Hendricks;325;2014;ABC Supply;USA;4,6
Mike Adenuga;325;2014;Conoil/Globacom;NGA;4,6
Pierre Bellon;325;2014;Sodexo;FRA;4,6
Leibbrand family;326;1996;;DEU;1,2
Reimann family;327;1996;Benckiser;DEU;1,2
Conle famle;328;1996;Sirosa;DEU;1,2
David Sun;328;2014;Kingston Technology;USA;4,5
Dieter Schnabel;328;2014;Helm AG;DEU;4,5
James Dyson;328;2014;Dyson;GBR;4,5
Jay Y. Lee;328;2014;Samsung;KOR;4,5
John A. Sobrato;328;2014;Sobrato Organization;USA;4,5
John Tu;328;2014;Kingston Technology;USA;4,5
Kirk Kerkorian;328;2014;MGM Grand;USA;4,5
Lynn Schusterman;328;2014;Samson Investment Company;USA;4,5
Majid Al Futtaim;328;2014;Majid Al Futtaim;ARE;4,5
Michael Herz;328;2014;Maxingvest AG;DEU;4,5
Trevor Rees-Jones;328;2014;Chief Oil and Gas ;USA;4,5
Wolfgang Herz;328;2014;Maxingvest AG;DEU;4,5
Masakazu Shiiki;329;1996;Sanyo Shinpan;JPN;1,2
Lorenzo Zambrano;330;1996;Cemex;MEX;1,2
Wee Cho Yaw;331;1996;United Overseas Bank;SGP;1,2
Frances Koshland Geballe;332;1996;Levi Strauss & co;USA;1,2
Josephine Haas;333;1996;Levi Strauss & co;USA;1,2
Richard Goldman;334;1996;Goldman Insurance and Risk Management;USA;1,2
Barbara Piasecka Johnson;335;1996;Johnson & Johnson;USA;1,2
William Davidson;336;1996;Guardian Industries;USA;1,2
Abdul Al Rahman  Al Jeraisy;336;2001;Jeraisy Group;SAU;1,5
Bennett Dorrance;336;2001;Campbell Soup;USA;1,5
Billy Joe McCombs;336;2001;Red McCombs Automotive Group;USA;1,5
Carl Berg;336;2001;Berg and Berg;USA;1,5
Carlos Peralta;336;2001;Groupo IUSA;MEX;1,5
Christoph Blocher;336;2001;EMS-Chemie;CHE;1,5
Enric Bernat;336;2001;Chupa Chups;ESP;1,5
Frank Batten;336;2001;The Weather Channel;USA;1,5
George Roberts;336;2001;Kohlberg Kravis Roberts;USA;1,5
Harold Simmons;336;2001;;USA;1,5
Henry Kravis;336;2001;Kohlberg Kravis Roberts;USA;1,5
Henry Yuen;336;2001;Gemstar-TV Guide International;USA;1,5
John Sobrato;336;2001;Sobrato Organization;USA;1,5
Kenneth Troutt;336;2001;Excel Communications;USA;1,5
Kim Magness;336;2001;TeleCommunications Inc;USA;1,5
Laurance Rockefeller;336;2001;Standard Oil;USA;1,5
Luis Carlos Sarmiento Angulo;336;2001;Grupo Aval Acciones y Valores, SA;COL;1,5
Marius Nacht;336;2001;Check Point;ISR;1,5
Mitchell Rales;336;2001;Danaher;USA;1,5
Rem Viakhirev;336;2001;Gazprom;RUS;1,5
Richard Goldman;336;2001;Goldman Insurance and Risk Management;USA;1,5
Richard Kinder;336;2001;Kinder Morgan Energy Partners;USA;1,5
Richard Marriott;336;2001;Marriot;USA;1,5
Roberto Marinho;336;2001;Globo Organizations;BRA;1,5
Stelios Haji-Ioannou;336;2001;Easy Jet;GRC;1,5
Steven Rales;336;2001;Danaher;USA;1,5
Tiong Hiew King;336;2001;Rimbunan Hijau Group;MYS;1,5
Dennis Washington;337;1996;Washington Companies;USA;1,2
Kathryn McCurry Albertson;338;1996;Albertsons;USA;1,2
Robert Galvin;339;1996;Motorola;USA;1,2
Donald Fisher;340;1996;The Gap;USA;1,2
Barbara Carlson Gage;340;2014;Carlson Inc;USA;4,4
Guenter Herz & Family;340;2014;Maxingvest AG;DEU;4,4
Kelcy Warren;340;2014;Energy Transfer Partners;USA;4,4
Luo Jye;340;2014;Maxxis;Taiwan;4,4
Marilyn Carlson Nelson;340;2014;Carlson Inc;USA;4,4
Doris Fisher;341;1996;The Gap;USA;1,2
David Duffield;342;1996;PeopleSoft;USA;1,2
Fayez Sarofim;343;1996;Fayez Sarofim & Co;USA;1,2
Paul Mellon;344;1996;Mellon Bank;USA;1,2
Susan Thompson Buffett;345;1996;Berkshire Hathaway;USA;1,2
Dan Olsson;345;2014;Stena Sphere;SWE;4,3
Emanuele (Lino) Saputo;345;2014;Saputo Inc;CAN;4,3
Guo Guangchang;345;2014;Fosun Group;CHN;4,3
Lee Shin Cheng;345;2014;IOI Group;MYS;4,3
Liang Wengen;345;2014;Sany Heavy Industry;CHN;4,3
Paul Tudor Jones, II.;345;2014;Tudor Investment Corporation;USA;4,3
Sam Zell;345;2014;Equity Group Investments;USA;4,3
Samvel Karapetyan;345;2014;Tashir Group;RUS;4,3
Wang Chuanfu;345;2014;BYD Company;CHN;4,3
Sam Zell;346;1996;Equity Group Investments;USA;1,2
Peter Haas Jr;347;1996;Levi Strauss & co;USA;1,2
Bemberg family;348;1996;Cerveza Quilmes;ARG;1,1
Leon Feffer;349;1996;Suzano Papel e Celulose;BRA;1,1
Galen Weston;350;1996;George Weston Limited;CAN;1,1
Run Run Shaw;351;1996;Shaw Brothers Studio;HKG;1,1
George Wong;352;1996;Chyau Fwu Corp;HKG;1,1
Dhirubhai Ambani;353;1996;Reliance;IND;1,1
Kenichi Mabuchi;354;1996;Mabuchi Motor Company;JPN;1,1
Akira Mori;354;2014;Mori Building;JPN;4,2
Bernard Ecclestone;354;2014;Formula One Group;GBR;4,2
Elizabeth Mohn;354;2014;Bertelsmann;DEU;4,2
Enrique Razon;354;2014;International Containter Terminal Services;PHL;4,2
Friede Springer;354;2014;Axel Sbringer AG;DEU;4,2
Jeronimo Arango;354;2014;Aurrera;MEX;4,2
Leonard Stern;354;2014;Hartz Group;USA;4,2
Lin Rong San;354;2014;Union Bank of Taiwan;Taiwan;4,2
Malcolm Glazer;354;2014;First Allied Corporation;USA;4,2
Ralph Dommermuth;354;2014;United Internet;DEU;4,2
Ted Lerner;354;2014;Lerner Enterprises;USA;4,2
Wang Wenyin;354;2014;Amer International Group;CHN;4,2
William Ding;354;2014;NetEase;CHN;4,2
Kazuo Inamori;355;1996;Kyocera;JPN;1,1
Isono family;356;1996;;JPN;1,1
Renichi Takenaka;357;1996;Takenaka;JPN;1,1
Ryusuke Kimura;358;1996;;JPN;1,1
Kim Suk-won;359;1996;;KOR;1,1
Yahaya Ahmad;360;1996;DRB-HICOM Group;MYS;1,1
Eugenio Garza Lagnera;361;1996;Femsa;MEX;1,1
Roberto Gonzalez Barrera;362;1996;Maseca;MEX;1,1
Isaac Saba Raffoul;363;1996;Groupo Casa Saba;MEX;1,1
Barbara Carlson Gage;363;2001;Carlson Inc;USA;1,4
Emilio Botin;363;2001;Grupo Santander;ESP;1,4
Franklin Booth;363;2001;Berkshire Hathaway;USA;1,4
George Lindemann;363;2001;Vision Cable, Metro Mobile, Southern Union;USA;1,4
Gloria von Thurn und Taxis;363;2001;von Thurn and Taxis family;DEU;1,4
Jay Van Andel;363;2001;Amway;USA;1,4
John van Vlissingen;363;2001;BCD Holdings;NLD;1,4
Koo Chen-fu;363;2001;Koos group;Taiwan;1,4
Marilyn Carlson Nelson;363;2001;Carlson Inc;USA;1,4
Mark Cuban;363;2001;Broadcast.com;USA;1,4
Michael Hilti;363;2001;;LIE;1,4
Miuccia Prada;363;2001;Prada;ITA;1,4
Pierre Bellon;363;2001;Sodexo;FRA;1,4
Rafael del Pino;363;2001;Ferrovial;ESP;1,4
Robert McNair;363;2001;Cogen Technologies;USA;1,4
Roman Abramovich;363;2001;Millhouse LLC;RUS;1,4
Soichiro Fukutake;363;2001;Benesse Corporation;JPN;1,4
Stanley Druckenmiller;363;2001;Duquesne Capital;USA;1,4
Stein Erik Hagen;363;2001;RIMI;NOR;1,4
Stephen Case;363;2001;AOL;USA;1,4
Thomas Frist;363;2001;Hostpital Corporation of America;USA;1,4
Willi and Isolde Liebherr;363;2001;Liebherr;CHE;1,4
William Ford;363;2001;Ford Motor Company;USA;1,4
William Kellogg;363;2001;Khol's;USA;1,4
Juan and Carlos March;364;1996;Acciona Trasmediterranea;ESP;1,1
Baron Hans Heinrich Thyssen-Bornemisza;365;1996;TBG (Thyssen-Bornemisza Group) Holdings;CHE;1,1
Chang Yung Fa;366;1996;Evergreen Group;Taiwan;1,1
Robert Haas;367;1996;Levi Strauss & co;USA;1,1
Anthony Bamford;367;2014;JCB;GBR;4,1
Barry Lam;367;2014;Quanta Computer;Taiwan;4,1
Beny Steinmetz;367;2014;Steinmetz Diamond Group and BSGR;ISR;4,1
Eduardo Saverin;367;2014;Facebook;BRA;4,1
Francisco Ivens de Sa Dias Branco;367;2014;M. Dias Branco S.A.;BRA;4,1
Ingvar Kamprad;367;2014;IKEA;SWE;4,1
Nancy Walton Laurie;367;2014;Walmart;USA;4,1
Shahid Khan;367;2014;Flex-N-Gate;USA;4,1
Hope Hill Van Beuren;368;1996;Campbell Soup;USA;1,1
Charlotte Colket Weber;369;1996;Campbell Soup;USA;1,1
Evelyn Danzig Haas;370;1996;Levi Strauss & co;USA;1,1
Ted Schwartz;371;1996;APAC Customer Services;USA;1,1
William Ford;372;1996;Ford Motor Company;USA;1,1
Richard Rainwater;373;1996;ENSCO International;USA;1,1
Michael Dell;374;1996;Dell;USA;1,1
Reese Rowling;375;1996;Tana Exploration Company;USA;1,1
Arkady Rotenberg;375;2014;SGM Group, Mostotrest, TPS Avia;RUS;4
Bertil Hult;375;2014;EF Education;SWE;4
Chairul Tanjung;375;2014;Para Group (aka CT Corp);IDN;4
Curt Engelhorn;375;2014;BASF/Boehringer Mannheim/DePuy;DEU;4
David & Frederick Barclay;375;2014;Press Holdings;GBR;4
Erich Kellerhals;375;2014;Media Markt;DEU;4
Gustaf Douglas;375;2014;Investment AB Latour;SWE;4
Gustavo Cisneros;375;2014;Cisneros Group;VEN;4
John Morris;375;2014;Bass Pro Shops;USA;4
Lars Larsen;375;2014;JYSK;DEN;4
Lei Jun;375;2014;Xiaomi Tech;CHN;4
Randal Kirk;375;2014;General Injectables and Vaccines/Third Security LLC;USA;4
Wang Wei;375;2014;S.F. Express;CHN;4
Curtis LeRoy Carlson;376;1996;Carlson;USA;1,1
Charles Schwab;377;1996;Charles Schwab Corporation;USA;1,1
Eli Broad;378;1996;Kaufman and Broad, SunAmerica;USA;1,1
Carl Lindner Jr;379;1996;American Financial Group;USA;1,1
Thomas Frist;380;1996;Hostpital Corporation of America;USA;1,1
Charles Gates Jr;381;1996;Gates Rubber Company;USA;1,1
Gustavo Cisneros;382;1996;Cisneros Group;VEN;1,1
Ahmed Ali Kanoo;383;1996;YBA Kanoo;BHR;1
Larragoiti family;384;1996;SulAmerica Seguros;BRA;1
Norberto Odebrecht;385;1996;Odebrecht Group;BRA;1
Gerard Louis-Dreyfus;386;1996;Louis Dreyfus Group;FRA;1
Nathaniel Rothschild;387;1996;?N M Rothschild & Sons;GBR;1
Alfredo Harp Helu;387;2001;Banamex;MEX;1,3
Andronico Luksic;387;2001;Antofagasta;CHL;1,3
Anthony Bamford;387;2001;JCB;GBR;1,3
Arthur Williams Jr;387;2001;A.L. Williams & Associates;USA;1,3
Arturo Moreno;387;2001;Outdoor Systems;USA;1,3
Bradley Hughes;387;2001;Public Storage;USA;1,3
Calisto Tanzi;387;2001;Parmalat;ITA;1,3
Carlo De Benedetti;387;2001;CIR Group;ITA;1,3
Charles Munger;387;2001;Berkshire Hathaway;USA;1,3
Donald Sturm;387;2001;Peter Kiewit Sons;USA;1,3
Eliodoro Matte;387;2001;CMPC;CHL;1,3
Francesco Micheli;387;2001;e.Biscom-Fastweb;ITA;1,3
Germain Lamonde;387;2001;EXFO;CAN;1,3
Haim Saban;387;2001;Saban Entertainment;USA;1,3
Hans-Werner Hector;387;2001;SAP AG;DEU;1,3
Henry Sy;387;2001;SM Malls;PHL;1,3
Isaac Saba Raffoul;387;2001;Groupo Casa Saba;MEX;1,3
James Moran;387;2001;JM Family Enterprises;USA;1,3
Johann Rupert;387;2001;Rembrandt Group;ZAF;1,3
Kenneth Langone;387;2001;Home Depot;USA;1,3
Mikhail Fridman;387;2001;Alfa Group;RUS;1,3
Patrick Guerrand;387;2001;Hermes;FRA;1,3
Pierce Marshall;387;2001;Standard Oil;USA;1,3
Putera Sampoerna;387;2001;Sampoerna;IDN;1,3
Richard Pratt;387;2001;Visy Industries;AUS;1,3
Roberto Hernandez Ramirez;387;2001;Banamex;MEX;1,3
Rong Yiren;387;2001;China International Trust and Investment Corp;CHN;1,3
Saleh Al Rajhi;387;2001;Al-Rajhi Bank;SAU;1,3
Silvio Scaglia;387;2001;Fastweb;ITA;1,3
Steven Jobs;387;2001;Apple;USA;1,3
Vagit Alekperov;387;2001;Lukoil;RUS;1,3
Vincent Smith;387;2001;Patrol Software North America;USA;1,3
Wallace McCain;387;2001;McCain Foods Limited;CAN;1,3
William Levine;387;2001;Outdoor Systems;USA;1,3
Adolf Merckle;388;1996;Ratiopharm;DEU;1
Bernard (Barry) Sherman;388;2014;Empire Laboratories;CAN;3,9
Daniel Och;388;2014;Och-Ziff Capital Management Group;USA;3,9
Donald Trump;388;2014;The Trump Organization;USA;3,9
Heinz-Georg Baus;388;2014;Bauhaus;DEU;3,9
John Gokongwei, Jr.;388;2014;JG Summit Holdings;PHL;3,9
Martha Ingram;388;2014;Ingram Industries;USA;3,9
Riley Bechtel;388;2014;Bechtel Corporation;USA;3,9
Stephen Bechtel, Jr.;388;2014;Bechtel Corporation;USA;3,9
Strwher family;389;1996;;DEU;1
Werhahn family;390;1996;Wilh. Werhahn KG;DEU;1
Chao Kuang-Piu;391;1996;;HKG;1
Shoul Eisenberg;392;1996;Israel Corporation;ISR;1
Sammy Ofer;393;1996;Zodiac Maritime Agencies;ISR;1
Otani Family;394;1996;;JPN;1
Shoichiro Toyoda;395;1996;Toyota Motors;JPN;1
Junichi Murata;396;1996;;JPN;1
Alain Merieux;396;2014;Institut Merieux;FRA;3,8
Alexander Abramov;396;2014;EvrazHolding;RUS;3,8
Andreas von Bechtolsheim;396;2014;Sun Microsystems;DEU;3,8
Jeffrey Skoll;396;2014;Ebay;USA;3,8
Mark Shoen;396;2014;U-haul;USA;3,8
Mitchell Rales;396;2014;Danaher;USA;3,8
Odd Reitan;396;2014;Reitan Group;NOR;3,8
Peter Hargreaves;396;2014;Hargreaves Lansdown;GBR;3,8
Steve Wynn;396;2014;Wynn Resorts (formarly Mirage Resorts);USA;3,8
Uday Kotak;396;2014;Kotak Mahindra Bank;IND;3,8
Walter Faria;396;2014;Grupo Petropolis;BRA;3,8
William Koch;396;2014;Koch industries;USA;3,8
Halim Saad;397;1996;Renong;MYS;1
Jeronimo Arango;398;1996;Aurrera;MEX;1
Ricardo Salinas Pliego;399;1996;Grupo Salinas/Group Elektra;MEX;1
Autrey family;400;1996;;MEX;1
Ana Maria Brescia Cafferata;401;1996;Grupo Prescia (now Pandora Group);PER;1
Eugenio Lopez;402;1996;Jumex;PHL;1
Saleh Kamel;403;1996;Dallah al Baraka Group;SAU;1
Abdul Aziz Al-Sulaiman;404;1996;Rolaco Trading and Contracting Company;SAU;1
Alicia and Esther Koplowitz;405;1996;Construcciones y Contratas;ESP;1
Henri Andre;406;1996;Andre & Cie;CHE;1
Eric Andre;407;1996;Andre & Cie;CHE;1
Boonsong Asavabhokhin;408;1996;;THA;1
Aloys Wobben;408;2014;Enercon;DEU;3,7
Axel Oberwelland;408;2014;Storck;DEU;3,7
Charles Dolan;408;2014;Cablevision and HBO;USA;3,7
Daniel Gilbert;408;2014;Quicken Loans;USA;3,7
Gong Hongjia;408;2014;Hikvision;HKG;3,7
Guenther Fielmann;408;2014;Fielmann AG;DEU;3,7
Igor Kesaev;408;2014;Mercury Company;RUS;3,7
Isabel dos Santos;408;2014;Unitel Interneational Holdings;AGO;3,7
Jiang Bin;408;2014;GoerTek;CHN;3,7
John Sall;408;2014;SAS institute;USA;3,7
Joseph Tsai;408;2014;Alibaba;CAN;3,7
Karen Pritzker;408;2014;Hyatt;USA;3,7
Martin & Olivier Bouygues;408;2014;Bouygues S.A.;FRA;3,7
Michael Stoschek;408;2014;Brose;DEU;3,7
Murat Ulker;408;2014;Yildiz Holding;TUR;3,7
Nathan Kirsh;408;2014;Jetro Holdings;SWZ;3,7
Niels Peter Louis-Hansen;408;2014;Coloplast;DEN;3,7
Ronald Lauder;408;2014;Est?Lauder;USA;3,7
Wu Yajun;408;2014;Longfor Properties;CHN;3,7
Zhang Jindong;408;2014;Suning Group;CHN;3,7
Zhang Xin;408;2014;SOHO China;CHN;3,7
John Sall;409;1996;SAS institute;USA;1
James Jannard;410;1996;Oakley, Inc;USA;1
Kenneth Tuchman;411;1996;Teletech;USA;1
Michael Bloomberg;412;1996;Bloomberg;USA;1
Laurance Rockefeller;413;1996;Standard Oil;USA;1
Randolph Hearst;414;1996;Hearst Corporation;USA;1
Fred Lennon;415;1996;Swagelok Company;USA;1
Winthrop Rockefeller;416;1996;Standard Oil;USA;1
Dirk Ziff;417;1996;Ziff Davis Inc;USA;1
Robert Ziff;418;1996;Ziff Davis Inc;USA;1
Daniel Ziff;419;1996;Ziff Davis Inc;USA;1
James Moran;420;1996;JM Family Enterprises;USA;1
Jack Taylor;421;1996;Enterprise;USA;1
Anthony O'Reilly;421;2001;Independent News & Media;IRL;1,2
Archie Aldis Emmerson;421;2001;Sierra Pacific Industries;USA;1,2
Brian Roberts;421;2001;Comcast;USA;1,2
Daniel Ziff;421;2001;Ziff Davis Inc;USA;1,2
David Bromilow;421;2001;ADIDAS;THA;1,2
Dirk Ziff;421;2001;Ziff Davis Inc;USA;1,2
Edward Bass;421;2001;Sid Richardson Gasoline Co;USA;1,2
Frederick Field;421;2001;Marshall Field and Company;USA;1,2
Harold Lenfest;421;2001;Lenfest Communications;USA;1,2
Herbert Siegel;421;2001;BHC Communications;USA;1,2
Jaime Augusto Zobel de Ayala;421;2001;Ayala Corporation;PHL;1,2
John Fredriksen;421;2001;Frontline Ltd.;NOR;1,2
John Krehbiel Jr;421;2001;Molex Incorporated;USA;1,2
John Marriott Jr;421;2001;Marriot;USA;1,2
Jon Stryker;421;2001;Stryker Corporation;USA;1,2
Joseph Jamail Jr;421;2001;;USA;1,2
Kunio Busujima;421;2001;Sankyo;JPN;1,2
Lee Seng Wee;421;2001;Oversea-Chinese Banking Corporation;SGP;1,2
Lucio Tan;421;2001;Asia Brewery;PHL;1,2
Marc Rich;421;2001;Glencore;CHE;1,2
Marguerite Harbert;421;2001;Harbart Corporation;USA;1,2
Mortimer Zuckerman;421;2001;Boston Properties;USA;1,2
Peter Nicholas;421;2001;Boston Scientific;USA;1,2
Renato Soru;421;2001;Tiscali;ITA;1,2
Richard Scaife;421;2001;Mellon;USA;1,2
Robert Ziff;421;2001;Ziff Davis Inc;USA;1,2
Ron and Fred Mannix;421;2001;Mancal Group;CAN;1,2
Socrates Kokkalis;421;2001;Intracom;GRC;1,2
Sydell Miller;421;2001;Matrix;USA;1,2
Thaksin Shinawatra;421;2001;Advanced Info Service;THA;1,2
Winthrop Rockefeller;421;2001;Standard Oil;USA;1,2
Steven Spielberg;422;1996;DreamWorks;USA;1
Carl Pohlad;423;1996;Marquette Bank;USA;1
Vanich Chaiyawan;429;2014;Thai Life;THA;3,7
David Shaw;430;2014;D.E. Shaw & Co;USA;3,6
God Nisanov;430;2014;Kiyevskaya Ploshad;RUS;3,6
Ian & Richard Livingstone;430;2014;London & Regional Properties;GBR;3,6
J. Christopher Reyes;430;2014;Reyes Holdings;USA;3,6
Jan Kulczyk;430;2014;Kulczyk Investments;POL;3,6
Jerry Speyer;430;2014;Tishman Speyer;USA;3,6
Jude Reyes;430;2014;Reyes Holdings;USA;3,6
Maria-Elisabeth Schaeffler;430;2014;Schaeffler Group;DEU;3,6
Michael Platt;430;2014;BlueCrest Capital Management;GBR;3,6
Reid Hoffman;430;2014;LinkedIn;USA;3,6
Sheldon Solow;430;2014;Solow Building Company;USA;3,6
Steven Rales;430;2014;Danaher;USA;3,6
Steven Udvar-Hazy;430;2014;International Lease Finance Corporation;USA;3,6
Zarakh Iliev;430;2014;;RUS;3,6
Zhang Shiping;430;2014;China Hongqiao;CHN;3,6
Adi Godrej;446;2014;Godrej Group;IND;3,5
Andreas Struengmann;446;2014;Hexal AG;DEU;3,5
Bernard Marcus;446;2014;Home Depot;USA;3,5
Evan Williams;446;2014;Twitter;USA;3,5
George Bishop;446;2014;GeoSouthern;USA;3,5
H. Ross Perot, Sr.;446;2014;Electronic Data Systems;USA;3,5
Jamshyd Godrej;446;2014;Godrej Group;IND;3,5
Keiichiro Takahara;446;2014;Unicharm;JPN;3,5
Leon G. Cooperman;446;2014;Omega Advisors;USA;3,5
Lorenzo Mendoza;446;2014;Empresas Polar;VEN;3,5
Lu Guanqiu;446;2014;Wanxiang Group;CHN;3,5
Masatoshi Ito;446;2014;Ito-Yokado;JPN;3,5
Prince Sultan bin Mohammed bin Saud Al Kabeer;446;2014;Almarai;SAU;3,5
Rosa Anna Magno Garavoglia;446;2014;Gruppo Campari;ITA;3,5
Sri Prakash Lohia;446;2014;Indorama Corporation;IDN;3,5
Thomas Struengmann;446;2014;Hexal AG;DEU;3,5
Yvonne Bauer;446;2014;Bauer Media Group;DEU;3,5
Zygmunt Solorz-Zak;446;2014;Polsat;POL;3,5
Albert Ueltschi;452;2001;FlightSafety International;USA;1,1
Arthur Rock;452;2001;Davis & Rock;USA;1,1
Barry Lam;452;2001;Quanta Computer;Taiwan;1,1
Bruce McCaw;452;2001;McCaw Cellular;USA;1,1
Charlotte Colket Weber;452;2001;Campbell Soup;USA;1,1
Christopher Goldsbury;452;2001;Pace Foods;USA;1,1
David Murdock;452;2001;Dole Food Company;USA;1,1
Edward Rogers;452;2001;Rogers Communications;CAN;1,1
Francesco Gaetano Caltagirone;452;2001;Caltagirone Holdings;ITA;1,1
Harrison McCain;452;2001;McCain Foods Limited;CAN;1,1
Henry Fok;452;2001;Sociedade de Turismo e Divers?es de Macau;HKG;1,1
Ikuo Ogihara;452;2001;Kyorin Pharmaceutical;JPN;1,1
J Joseph Ricketts;452;2001;TD Ameritrade;USA;1,1
Jean Coutu;452;2001;Jean Coutu Group;CAN;1,1
John Abele;452;2001;Boston Scientific;USA;1,1
John McCaw;452;2001;McCaw Cellular;USA;1,1
Kagemasa Kozuki;452;2001;Konami;JPN;1,1
Keith McCaw;452;2001;McCaw Cellular;USA;1,1
Kenkichi Nakajima;452;2001;Heiwa;JPN;1,1
Marco Tronchetti Provera;452;2001;Pirelli Group;ITA;1,1
Mary Anselmo;452;2001;PanAmSat;USA;1,1
Patricia Short;452;2001;;USA;1,1
Patrick Ryan;452;2001;Aon Corporation;USA;1,1
Peter Woo;452;2001;Worldwide Shipping Group;HKG;1,1
Quek Leng Chan;452;2001;Hong Leong Financial Group;MYS;1,1
Robert Dedman;452;2001;ClubCorp;USA;1,1
Robert McLane;452;2001;McLane Company;USA;1,1
Ronda Stryker;452;2001;Stryker Corporation;USA;1,1
Roy Disney;452;2001;Disney;USA;1,1
Sidney Kimmel;452;2001;Jones Apparel Group;USA;1,1
Stanley Ho;452;2001;Sociedade de Turismo e Divers?es de Macau;HKG;1,1
Thomas Flatley;452;2001;The Flatley Co;USA;1,1
Victor Fung;452;2001;Li & Fung Group;HKG;1,1
Viktor Chernomyrdin;452;2001;Gazprom;RUS;1,1
Viscount Rothermere;452;2001;Associated Newspapers;GBR;1,1
Walter Scott Jr;452;2001;Piewit Corporation;USA;1,1
William Cook;452;2001;Cook Group;USA;1,1
William Fung;452;2001;Li & Fung Group;HKG;1,1
Andrei Guriev;466;2014;Apatit;RUS;3,4
Chung Eui-Sun;466;2014;Hyundai;KOR;3,4
Daniela Herz;466;2014;Maxingvest AG;DEU;3,4
Edward Roski, Jr.;466;2014;Majestic Realty Co.;USA;3,4
Fredrik Lundberg;466;2014;LE Lundbergforetagen AB;SWE;3,4
Haim Saban;466;2014;Saban Entertainment;USA;3,4
Han Chang-Woo;466;2014;Maruhan;JPN;3,4
Jim Davis;466;2014;New Balance;USA;3,4
John Doerr;466;2014;Kleinter Perkins Caufield & Byers;USA;3,4
John Gandel;466;2014;Chadstone Shopping Center;AUS;3,4
Lin Yu-lin;466;2014;Hong Tai Group;Taiwan;3,4
Rafael Del Pino y Calvo-Sotelo;466;2014;Ferrovial;ESP;3,4
Ronda Stryker;466;2014;Stryker Corporation;USA;3,4
Steven Spielberg;466;2014;DreamWorks;USA;3,4
